theme_id,theme_name,id,name,rare_state,rarity,NP
7,菇菇農場,3,紅蘿蔔菇菇,-1,1,10
7,菇菇農場,4,乾草菇菇,-1,2,20
7,菇菇農場,5,稻草人菇菇,-1,2,24
7,菇菇農場,6,手推車菇菇,-1,2,30
7,菇菇農場,7,小羊菇菇,-1,2,32
7,菇菇農場,8,牧羊犬菇菇,-1,3,48
7,菇菇農場,9,蜂蜜菇菇,-1,3,50
7,菇菇農場,10,黑桃菇菇,-1,3,55
7,菇菇農場,11,收割菇菇,-1,3,60
7,菇菇農場,12,宇宙菇菇,-1,3,65
7,菇菇農場,13,筒倉菇菇,-1,3,70
7,菇菇農場,14,地松鼠菇菇,-1,4,98
7,菇菇農場,15,菇菇花生,-1,4,108
7,菇菇農場,16,噴灑機械菇菇,-1,4,120
7,菇菇農場,17,麵粉菇菇,-1,4,128
7,菇菇農場,18,雞蛋菇菇,-1,5,145
7,菇菇農場,19,農業機械菇菇,-1,5,160
7,菇菇農場,20,玉米王菇菇,-1,5,180
7,菇菇農場,5,稻草人菇菇,1,2,24
7,菇菇農場,7,小羊菇菇,1,2,32
7,菇菇農場,9,蜂蜜菇菇,1,3,50
7,菇菇農場,14,地松鼠菇菇,1,4,98
7,菇菇農場,18,雞蛋菇菇,1,5,145
7,菇菇農場,19,農業機械菇菇,1,5,160
