theme_id,theme_name,id,name,rare_state,rarity,NP
8,賞花,3,花蕾菇菇,-1,1,10
8,賞花,4,占位菇菇,-1,2,20
8,賞花,5,賞花菇菇,-1,2,24
8,賞花,6,三色糰子菇菇,-1,2,30
8,賞花,7,春一番菇菇,-1,2,32
8,賞花,8,櫻花菇菇,-1,3,48
8,賞花,9,1.8L瓶菇菇,-1,3,50
8,賞花,10,燕子菇菇,-1,3,55
8,賞花,11,重箱菇菇,-1,3,60
8,賞花,12,酒杯菇菇,-1,3,65
8,賞花,13,菇菇小一生,-1,3,70
8,賞花,14,飯糰菇菇,-1,4,98
8,賞花,15,高湯煎蛋捲菇菇,-1,4,108
8,賞花,16,花粉症菇菇,-1,4,120
8,賞花,17,攝影師菇菇,-1,4,128
8,賞花,18,櫻餅菇菇,-1,5,145
8,賞花,19,春天菇菇,-1,5,160
8,賞花,20,櫻襲菇菇,-1,5,180
8,賞花,5,賞花菇菇,1,2,24
8,賞花,13,菇菇小一生,1,3,70
8,賞花,15,高湯煎蛋捲菇菇,1,4,108
8,賞花,16,花粉症菇菇,1,4,120
8,賞花,17,攝影師菇菇,1,4,128
8,賞花,19,春天菇菇,1,5,160
